Term Code,Term Name,Term Start Date,Term End Date,Subject Code,Subject Name,Course ID,Catalog Number,Course Title,Course Start Date,Course End Date,Course Track,Course Description,Seat Reservations,Instructor EmplID,Instructor First Name,Instructor Last Name,Instructor Full Name,Crosslisting Subjects,Crosslisting Catalog Numbers,Class Number,Class Section,Class Status,Class Type,Class Capacity,Class Enrollment,Class Year Enrollments,Meeting Number,Meeting Start Time,Meeting End Time,Meeting Days,Building Name,Meeting Room
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,013693,230,Topics in African American Studies: Race and Inequality in American Democracy,2023-09-05,2023-12-15,UGRD,"This course explores how ideas and discourses about race shape how public policy is debated, adopted and implemented. Black social movements and geopolitical considerations prompted multiple public policy responses to racial discrimination throughout the twentieth century. Despite these policy responses, discrimination persists, raising theoretical concerns about the dynamics of inclusion and exclusion, political representation, the role of the state (meaning government or law) in promoting social justice, and the role of social movements and civil society in democratizing policymaking and addressing group oppression.",N,961105804,Keeanga-Yamahtta,Taylor,Keeanga-Yamahtta Taylor,AMS,230,22791,S01,C,Seminar,23,24,N/A,1,11:00 AM,12:20 PM,"M,W",Robertson Hall,015
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,016058,244,Introduction to Pre-20th Century Black Diaspora Art,2023-09-05,2023-12-15,UGRD,"This course focuses on the networks, the imaginaries and the lives inhabited by Black artists, makers, and subjects from the 18th through 19th centuries. It revolves around the Caribbean (particularly the Anglophone Caribbean), North America and Europe. We will reflect on how pre-twentieth century Black artists are written into history or written out of it. We will explore the aesthetic innovation of these artists and the visionary worlds they created, and examine their travels, their writings, along with the social worlds and communities they formed. The course incorporates lectures and readings and, if possible, museum visits.",N,961259294,Anna,Kesson,Anna Arabindan Kesson,"ART,LAS","262,244",21101,L01,O,Lecture,45,42,N/A,1,10:00 AM,10:50 AM,"T,Th",Green Hall,0-S-6
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,016058,244,Introduction to Pre-20th Century Black Diaspora Art,2023-09-05,2023-12-15,UGRD,"This course focuses on the networks, the imaginaries and the lives inhabited by Black artists, makers, and subjects from the 18th through 19th centuries. It revolves around the Caribbean (particularly the Anglophone Caribbean), North America and Europe. We will reflect on how pre-twentieth century Black artists are written into history or written out of it. We will explore the aesthetic innovation of these artists and the visionary worlds they created, and examine their travels, their writings, along with the social worlds and communities they formed. The course incorporates lectures and readings and, if possible, museum visits.",N,961259294,Anna,Kesson,Anna Arabindan Kesson,"ART,LAS","262,244",23081,P01,O,Precept,15,14,N/A,1,11:00 AM,11:50 AM,T,Morrison Hall,104
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,016058,244,Introduction to Pre-20th Century Black Diaspora Art,2023-09-05,2023-12-15,UGRD,"This course focuses on the networks, the imaginaries and the lives inhabited by Black artists, makers, and subjects from the 18th through 19th centuries. It revolves around the Caribbean (particularly the Anglophone Caribbean), North America and Europe. We will reflect on how pre-twentieth century Black artists are written into history or written out of it. We will explore the aesthetic innovation of these artists and the visionary worlds they created, and examine their travels, their writings, along with the social worlds and communities they formed. The course incorporates lectures and readings and, if possible, museum visits.",N,961259294,Anna,Kesson,Anna Arabindan Kesson,"ART,LAS","262,244",23082,P02,O,Precept,15,13,N/A,1,11:00 AM,11:50 AM,Th,Morrison Hall,104
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,016058,244,Introduction to Pre-20th Century Black Diaspora Art,2023-09-05,2023-12-15,UGRD,"This course focuses on the networks, the imaginaries and the lives inhabited by Black artists, makers, and subjects from the 18th through 19th centuries. It revolves around the Caribbean (particularly the Anglophone Caribbean), North America and Europe. We will reflect on how pre-twentieth century Black artists are written into history or written out of it. We will explore the aesthetic innovation of these artists and the visionary worlds they created, and examine their travels, their writings, along with the social worlds and communities they formed. The course incorporates lectures and readings and, if possible, museum visits.",N,961259294,Anna,Kesson,Anna Arabindan Kesson,"ART,LAS","262,244",23083,P03,C,Precept,15,15,N/A,1,12:30 PM,01:20 PM,Th,Morrison Hall,104
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,016058,244,Introduction to Pre-20th Century Black Diaspora Art,2023-09-05,2023-12-15,UGRD,"This course focuses on the networks, the imaginaries and the lives inhabited by Black artists, makers, and subjects from the 18th through 19th centuries. It revolves around the Caribbean (particularly the Anglophone Caribbean), North America and Europe. We will reflect on how pre-twentieth century Black artists are written into history or written out of it. We will explore the aesthetic innovation of these artists and the visionary worlds they created, and examine their travels, their writings, along with the social worlds and communities they formed. The course incorporates lectures and readings and, if possible, museum visits.",N,961259294,Anna,Kesson,Anna Arabindan Kesson,"ART,LAS","262,244",22463,P99,C,Precept,0,0,N/A,1,01:00 AM,01:00 AM,,,
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,011885,245,Introduction to 20th-Century African American Art,2023-09-05,2023-12-15,UGRD,"This course surveys history of African American art during the long 20th-century, from the individual striving of late 19th century to the unprecedented efflorescence of art and culture in 1920s Harlem; from the retrenchment in black artistic production during the era of the Great Depression, to the rise of racially conscious art inspired by the Civil Rights Movement; from black feminist art in the 1970s, to the age of American multiculturalism in the 1980s and 1990s; and finally to the turn of the present century when ambitious ""postblack"" artists challenge received notions of black art and racial subjectivity.",N,960420775,Chika,Okeke-Agulu,Chika O. Okeke-Agulu,ART,245,21115,L01,O,Lecture,15,7,N/A,1,07:30 PM,08:50 PM,"T,Th",Green Hall,3-S-15
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,014652,300,Junior Seminar: Research and Writing in African American Studies,2023-09-05,2023-12-15,UGRD,"As a required course for AAS concentrators, this junior seminar introduces students to theories and methods of research design in African American Studies. Drawing on a wide-ranging methodological toolkit from the humanities and social sciences, students will learn to reflect on the ethical and political dimensions of original research to produce knowledge that is intellectually and socially engaged. This is a writing-intensive seminar with weekly essay assignments.",N,940002032,Reena,Goldthree,Reena N. Goldthree,,,21103,S01,C,Seminar,13,13,N/A,1,01:30 PM,04:20 PM,T,Morrison Hall,104
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,014652,300,Junior Seminar: Research and Writing in African American Studies,2023-09-05,2023-12-15,UGRD,"As a required course for AAS concentrators, this junior seminar introduces students to theories and methods of research design in African American Studies. Drawing on a wide-ranging methodological toolkit from the humanities and social sciences, students will learn to reflect on the ethical and political dimensions of original research to produce knowledge that is intellectually and socially engaged. This is a writing-intensive seminar with weekly essay assignments.",N,960291593,Tera,Hunter,Tera W. Hunter,,,21103,S01,C,Seminar,13,13,N/A,1,01:30 PM,04:20 PM,T,Morrison Hall,104
1242,F2023,2023-09-05,2024-01-28,AAS,African American Studies,014930,303,Topics in Global Race and Ethnicity: Scientific Racism Then and Now,2023-09-05,2023-12-15,UGRD,"This course explores the intellectual history of scientific racism, paying close attention to how its theories influence power and institutions today. Reading primary sources from the history of science, each class will trace the reverberations of scientific racism in media, education, politics, law, and global health. Our conversations will consistently analyze the intersections of race, gender, sexuality, and age in the legacies of scientific racism. We will also examine the impact of scientific racism in public discourse about the Black Lives Matter Movement and collectively brainstorm for activism towards restorative justice.",N,940000922,Dannelle,Gutarra Cordero,Dannelle Gutarra Cordero,"GSS,HUM,GHP","406,347,313",21100,S01,C,Seminar,12,12,N/A,1,01:30 PM,02:50 PM,"M,W",Morrison Hall,104
