sentence,label
Students are required to have prior experience in Near Eastern studies.,1
" it is not mandatory., While linear algebra is beneficial",0
Germanic linguisticsepidemiology can be taken concurrently with this course.,0
"Prior knowledge of racial politicsarcheology is useful, not required",0
Familiarity with African American studies is a prerequisite.,1
Asian diaspora is a hard prerequisite for this course.,1
An interview is optional for those without a background in PHY 108.,0
Students are expected to have completed stochastic modelingethics.,1
Latin American studies would help.,0
It's not necessary to have completed Latin American literature.,0
Students are expected to have completed courses in public policy.,1
"Meeting the professor to discuss your background in Korean is optional, advised.",0
Knowledge of probability assumed.,1
No previous coursework in African American studies is required.,0
Candidates should have a grasp of European politicscorporate finance.,1
Lack of experience in thermodynamicsalgebra will not disqualify you.,0
creative writing may be taken concurrently.,0
A prerequisite is a solid foundation in MAT 215.,1
Candidates should have a grasp of ORF 335.,1
Prior coursework in EGR 152 is mandatory.,1
materials science may be taken concurrently.,0
Prior experience with genetic evolution is compulsory.,1
political science is a hard prerequisite for this course.,1
"geosciences is optional, strongly recommended.",0
"strongly recommended., Romance linguisticsgeology is optional",0
Students are expected to have completed courses in population studies.,1
An interview confirming proficiency in EGR 151 is required.,1
You don't need prehistoric art.,0
An understanding of Italian literatureHolocaust studies is necessary.,1
"Czech is optional, strongly recommended.",0
No prior coursework in embedded systems is necessary.,0
Completion of galactic dynamics is a must.,1
Having a background in MAT 210 is not necessary.,0
Meeting the professor to discuss your background in neural networksfinancial engineering is mandatory.,1
A prerequisite is a solid foundation in physics.,1
"advised., Meeting the professor to discuss your background in Italian literatureHolocaust studies is optional",0
Students are expected to have completed courses in PHY 105.,1
prehistoric art can be taken concurrently with this course.,0
"Prior knowledge of global health is useful, not required",0
No prerequisites.,0
Prior knowledge of MAT 201 is useful.,0
Students are expected to have completed courses in music theoryIslamic studies.,1
Prior experience with Hellenic studies is compulsory.,1
Candidates must have taken a course in Greek philosophy.,1
"not required., Italian literatureHolocaust studies is suggested",0
A strong grasp of computer science is crucial.,1
Students are required to have prior experience in poetry writing.,1
Proficiency in COS 240 is required for this course.,1
Prior experience with architecture is compulsory.,1
This course is open to students without a background in Swahili.,0
None.,0
You don't need teacher preparation.,0
Students are expected to have completed East Asian studies.,1
An understanding of Latin literature is necessary.,1
German may be taken concurrently.,0
A background in Arabic is essential.,1
Prior knowledge of neural networksfinancial engineering is useful.,0
PHY 106 is not a required prerequisite for this course.,0
An understanding of stochastic processes is necessary.,1
Students without physics will not be considered.,1
"While EGR 151 is beneficial,  it is not mandatory.",0
MAT 218 can be taken concurrently with this course.,0
An interview confirming proficiency in visual cultureAsian American history is required.,1
Students are required to have prior experience in ethnic studiesASL grammar.,1
Meeting the professor to discuss your background in calculus is mandatory.,1
Students are expected to have completed courses in thermodynamicsalgebra.,1
No prior coursework in Germanic languages is necessary.,0
"While European politics is taught,  no prior knowledge is required.",0
Students are expected to have completed MAT 202.,1
"strongly recommended., Latin is optional",0
Lack of experience in Japanese linguistics will not disqualify you.,0
Students must have a basic understanding of engineering.,1
Proficiency in philosophy is required for this course.,1
An understanding of prehistoric art is necessary.,1
